CUSIP,Ticker
000303107,AQBN
000304105,AACAY
000307108,AACH
000360206,AAON
000361105,AIR
000375204,ABB
00037T103,AAPJ
00037W106,ABTO
000380105,ABCZY
00080Q105,AAVMY
00081T108,ACCO
00083U202,ABQQ
00084J107,ABOTD
00084L102,ABOT
000868109,ACNB
00087D107,AMCY
000899104,ADMA
00089H106,ACSAY
00089L107,DRWN
00090Q103,ADT
000957100,ABM
001004100,ADMT
00101J106,ADT
00101U101,ADGS
001031103,AEPI
001038108,AFAP
001055102,AFL
001055300,AFSD
001084102,AGCO
00108J109,ACMR
00108M102,AGNU
001092105,AGFMF
00109C103,ASGLY
00110G101,MOM
00110G200,CHEP
00110G309,SIZ
00110G408,BTAL
00110G507,USHG
00110G606,GLIF
00110G887,DIVA
001201102,AGLNY
001201201,AGLXY
001204106,GAS
001228105,MITT
001228204,MITTPRA
001228303,MITTPRB
001228402,MITTPRC
00123Q104,AGNC
00123Q302,AGNCB
00123Q500,AGNCN
00123Q609,AGNCM
00123Q807,AGNCO
00123Q872,AGNCP
001282102,AHC
00130H105,AES
001317205,AAGIY
00135T104,AIBGY
001430107,AISSF
001448109,AITB
001457100,AIVI
001474105,AJGH
001503101,AJSB
001547108,AKS
001600105,ALCSQ
001627108,ALJJ
001628106,AKABY
00162Q106,RDOG
00162Q205,EQL
00162Q304,CRBQ
00162Q460,ACES
00162Q478,DTEC
00162Q486,SWIN
00162Q494,BUZ
00162Q510,RFFC
00162Q528,RFDA
00162Q536,RFCI
00162Q544,RFUN
00162Q569,SLOW
00162Q577,SLDR
00162Q585,SGDJ
00162Q593,SBIO
00162Q635,STXX
00162Q643,SGDM
00162Q650,EQLT
00162Q668,EDOG
00162Q676,ENFR
00162Q718,IDOG
00162Q726,BFOR
00162Q734,HVPW
00162Q783,RIGS
00162Q791,SPXH
00162Q817,TRSK
00162Q858,SDOG
00162Q866,AMLP
001630102,ALRT
00163U106,AMAG
001642107,ACFL
00164V103,AMCX
00165C104,AMC
00165R101,AMCI
00165R119,AMCIW
00165R200,AMCIU
00167X205,AMFW
001683101,AFIPA
00170F209,AATRL
001744101,AMN
00175J107,RTROD
0017EP202,AMLYY
00180G106,HKIB
00180L105,SYUPZZZZ
00181T107,AMRK
00182C103,ANIP
00183L102,ANGI
00184X105,AOL
00187E203,ATNY
00191G103,ARC
00191J107,MTVX
00191R109,AUMA
00191R117,AUMAW
00191R208,AUMAU
00191U102,ASGN
001930205,ARIS
001940105,ATSAF
001984103,AMFC
00202F102,AMKBY
00205P206,ASBN
00206R102,T
00206R300,TBB
00206R409,TBC
